question,result,context
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| Title | Description | Variety | Country | Region | Winery | Province |
I'm interested in a wine from the Barossa Valley region.,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Barossa Valley Estate 2002 Spires Chardonnay (Barossa Valley) | Zippy citrus note with underlying aroma of cracker, or flour. A little creaminess rounds out the nose. | Chardonnay | Australia | Barossa Valley | Barossa Valley Estate | South Australia |
| Peter Lehmann 2014 Portrait Shiraz (Barossa Valley) | Medium-bodied Shiraz with vanilla, plum and black olive aromas and flavors, supple tannins and a lingering mocha finish. | Shiraz | Australia | Barossa Valley | Peter Lehmann | South Australia |
| Hamilton's Ewell Vineyard 2000 Railway Chardonnay (Barossa Valley) | Heavy, sweet fruit flavors with melon, guava and honey aromas. | Chardonnay | Australia | Barossa Valley | Hamilton's Ewell Vineyard | South Australia |
| Grant Burge 2000 Barossa Vines Shiraz (Barossa Valley) | Packed with grapey, plummy fruit, smoke and vanilla. Balanced and suitable for by-the-glass option or barbecue companion. | Shiraz | Australia | Barossa Valley | Grant Burge | South Australia |
| Penfolds 2009 RWT Shiraz (Barossa Valley) | Offers layers of blueberry and blackberry fruit intermingled elegantly with hints of French vanilla. Long, subtle and complex on the finish. | Shiraz | Australia | Barossa Valley | Penfolds | South Australia |","Country: Australia, Description: There's a zippy citrus note on the nose, though the underlying aroma is of cracker, or flour; the citrusy streak resurfaces on the palate and carries through to the finish. A little creaminess rounds out the nose. Quite a value for Barossa Chardonnay., Designation: Spires, Points: 86.0, Price: 10.0, Province: South Australia, Title: Barossa Valley Estate 2002 Spires Chardonnay (Barossa Valley), Variety: Chardonnay, Winery: Barossa Valley Estate, Region: Barossa Valley, Style1: Chardonnay - South Australia, Style2: Chardonnay - South Australia, Style3: Chardonnay - Australia Country: Australia, Description: This medium-bodied Shiraz represents a solid value. Sourced from 80 growers, it's meant to present a “portrait” of the Barossa region, and it delivers vanilla, plum and black olive aromas and flavors, supple tannins and a lingering mocha finish., Designation: Portrait, Points: 89.0, Price: 16.0, Province: South Australia, Title: Peter Lehmann 2014 Portrait Shiraz (Barossa Valley), Variety: Shiraz, Winery: Peter Lehmann, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: The warm climate of the Barossa is reflected in the heavy, sweet fruit flavors. The melon, guava and honey aromas and flavors lack zip and definition but certainly don't lack for ripeness., Designation: Railway, Points: 83.0, Price: 13.0, Province: South Australia, Title: Hamilton's Ewell Vineyard 2000 Railway Chardonnay (Barossa Valley), Variety: Chardonnay, Winery: Hamilton's Ewell Vineyard, Region: Barossa Valley, Style1: Chardonnay - South Australia, Style2: Chardonnay - South Australia, Style3: Chardonnay - Australia Country: Australia, Description: Packed with grapey, plummy fruit, smoke and vanilla, this is solid entry-level stuff. It's not particularly rich or concentrated, but it is something that's uncommon at this price: balanced. That makes it an attractive by-the-glass option or barbecue companion. —J.C., Designation: Barossa Vines, Points: 85.0, Price: 11.0, Province: South Australia, Title: Grant Burge 2000 Barossa Vines Shiraz (Barossa Valley), Variety: Shiraz, Winery: Grant Burge, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: RWT (unromantically derived from “Red Wine Trial”) is 100% Barossa Valley Shiraz, aged in 100% French oak. In some vintages, like this one, the combination is incredibly sumptuous, offering layers of blueberry and blackberry fruit intermingled elegantly with hints of French vanilla. It's long, subtle and complex on the finish—a stunning effort. It's approachable now, but should age well through 2030 or so., Designation: RWT, Points: 96.0, Price: 150.0, Province: South Australia, Title: Penfolds 2009 RWT Shiraz (Barossa Valley), Variety: Shiraz, Winery: Penfolds, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Old-vine Shiraz from the valley floor imparts great richness and a creamy texture to this wine's tannins, framed easily by hints of vanilla. Yet it's not a simple fruit-and-oak concoction—with time in the glass it steadily unfurls to reveal herbal and spice complexities. Marries power and elegance;  drink now–2015., Designation: The Factor, Points: 92.0, Price: 105.0, Province: South Australia, Title: Torbreck 2006 The Factor Shiraz (Barossa Valley), Variety: Shiraz, Winery: Torbreck, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: This has gone up in price over the years, but it's still a solid, relatively affordable example of Barossa Valley Shiraz. This is youthful and edgy, with meaty, savory notes accenting mixed berries and a hint of mint. The finish is a bit chewy right now, but mouthcoating and long., Designation: Bishop, Points: 93.0, Price: 37.0, Province: South Australia, Title: Glaetzer 2013 Bishop Shiraz (Barossa Valley), Variety: Shiraz, Winery: Glaetzer, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Full bodied, creamy and lush, this is a prototypical Barossa Valley Shiraz from a longtime master of the variety. Smoke, cedar, mulberry and eucalyptus notes mingle easily on the nose, while savory notes of roasted meat and dried herb blend seamlessly into the fruit, ending long, velvety and rich., Designation: Eligo, Points: 94.0, Price: 100.0, Province: South Australia, Title: John Duval Wines 2013 Eligo Shiraz (Barossa Valley), Variety: Shiraz, Winery: John Duval Wines, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: The flagship wine from a relatively new Barossa producer, the 2004 Benno features smoky, savory, spice- and meat-driven aromas that easily move into complex and well-integrated flavors of spice and dark berries. Despite its labeled 15% alcohol, the wine isn't heavy, instead offering medium body and a creamy smooth texture. Finishes long, with lingering dark fruit flavors. Drink now–2020., Designation: Benno Shiraz-Mataro, Points: 92.0, Price: 75.0, Province: South Australia, Title: Murray Street 2004 Benno Shiraz-Mataro Red (Barossa Valley), Variety: Red Blend, Winery: Murray Street, Region: Barossa Valley, Style1: Red Blend - South Australia, Style2: Red Blend - South Australia, Style3: Red Blend - Australia Country: Australia, Description: Blended from a patchwork of old vineyards throughout the Barossa, this is typical Barossa Shiraz, with plenty of weight and creamy tannins that support plummy, chocolaty fruit. There's a bit of spice for complexity and a crisp, fresh finish. Drink now–2014., Designation: Patchwork, Points: 88.0, Price: 18.0, Province: South Australia, Title: Yalumba 2006 Patchwork Shiraz (Barossa), Variety: Shiraz, Winery: Yalumba, Region: Barossa, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Rich, dense and intense, this is a big, muscular rendering of Barossa Shiraz. Scents of maple syrup and menthol intertwine with flavors of ripe plums and grilled meat. It's mouthcoating and long on the tannic finish, so give it some time in the cellar; drink 2020–2030., Designation: The Family Tree, Points: 95.0, Price: 65.0, Province: South Australia, Title: Lambert 2013 The Family Tree Shiraz (Barossa Valley), Variety: Shiraz, Winery: Lambert, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Full bodied and richly textured, this is a terrific example of Barossa Shiraz. From its smoky aromas and intense, briary scents to its complex, earthy, spicy flavors with an undercurrent of blackberry, this is a complete package. The long finish is slightly chewy, suggesting that additional aging is warranted. Drink 2016–2025., Designation: Green's Vineyard, Points: 93.0, Price: 104.0, Province: South Australia, Title: Kilikanoon 2008 Green's Vineyard Shiraz (Barossa Valley), Variety: Shiraz, Winery: Kilikanoon, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Supple and velvety, with a ripe, creamy texture, this shows textbook Cab flavors: cassis, tobacco and some vanilla from new oak. It deftly avoids the common Barossa problem of excessive size and weight, just could use a touch more persistence on the finish. Imported by AUSA Pacific, LLC., Designation: Thoroughbred, Points: 87.0, Price: 28.0, Province: South Australia, Title: Stanley Lambert 2002 Thoroughbred Cabernet Sauvignon (Barossa Valley), Variety: Cabernet Sauvignon, Winery: Stanley Lambert, Region: Barossa Valley, Style1: Cabernet Sauvignon - South Australia, Style2: Cabernet Sauvignon - South Australia, Style3: Cabernet Sauvignon - Australia Country: Australia, Description: How can a Barossa Shiraz be so green? Its flavors are herbal to the point of being close to cabbage or green bean, with just enough high-toned cherry fruit to be acceptable. —J.C., Designation: Sinner's, Points: 82.0, Price: 23.0, Province: South Australia, Title: Yunbar 2000 Sinner's Shiraz (Barossa Valley), Variety: Shiraz, Winery: Yunbar, Region: Barossa Valley, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Shows greater fruit character and purity than the roasted 2003, with blackberry flavors nicely framed by vanilla oak and meaty, savory notes. Firm on the finish, suggesting an optimum drinking window of 2009–2016., Designation: Ebenezer, Points: 89.0, Price: 32.0, Province: South Australia, Title: Barossa Valley Estate 2004 Ebenezer Shiraz (Barossa), Variety: Shiraz, Winery: Barossa Valley Estate, Region: Barossa, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia"
"I'd like a sparkling wine, excluding Merlot.","| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Sanpaolo 2012 Jacarando Rosé Extra Brut Aglianico (Irpinia) | An informal sparkler with a simple, fresh palate offering crunchy cherry, strawberry and pink grapefruit. | Aglianico | Italy | Irpinia | Sanpaolo | Southern Italy |
| Gloria Ferrer NV Va de Vi Ultra Cuvée Sparkling (Sonoma County) | A good sparkling wine, a bit scoury around the edges, but nice and dry, with a fancy finish. Shows crisp flavors of yeasty lees, limes, lemons, vanilla and smoke. | Sparkling Blend | US | Sonoma | Gloria Ferrer | California |
| Costaripa NV Brut  (Lugana) | An oak-aged sparkler that boasts thick density and creamy aromas of almond, peach, butter and yellow rose. | Chardonnay | Italy | Lugana | Costaripa | Lombardy |
| Bedell 2013 Sparkling Rosé Sparkling (North Fork of Long Island) | Whiffs of exotic spice lend flair to berry and cherry aromas on this sparkling blend of Cabernet Franc, Cabernet Sauvignon and Merlot. | Sparkling Blend | US | North Fork of Long Island | Bedell | New York |
| Noble Estate 2013 Semi-Sparkling Muscat (Willamette Valley) | This lightly sparkling, low-alcohol wine is off dry but with bracing acidity. It features a refreshing mix of apple, peach and citrus fruit. | Muscat | US | Willamette Valley | Noble Estate | Oregon |","Country: Italy, Description: Here's a rosé sparkler (made with Merlot and Incrocio Manzoni) with a healthy, floral bouquet of rose, raspberry and pomegranate. The wine has berry sweetness in the mouth and a generous, smooth texture., Designation: Cuvée di Gabry Rosé, Points: 87.0, Price: 19.0, Province: Veneto, Title: La Tordera NV Cuvée di Gabry Rosé Sparkling (Veneto), Variety: Sparkling Blend, Winery: La Tordera, Region: Veneto, Style1: Sparkling Blend - Veneto, Style2: Sparkling Blend - Veneto, Style3: Sparkling Blend - Italy Country: Italy, Description: Here's an informal sparkler made with the Aglianico grape. The simple, fresh palate offers crunchy cherry, strawberry and pink grapefruit alongside bright acidity and vigorous, aggressive bubbles., Designation: Jacarando Rosé Extra Brut, Points: 85.0, Price: 6.0, Province: Southern Italy, Title: Sanpaolo 2012 Jacarando Rosé Extra Brut Aglianico (Irpinia), Variety: Aglianico, Winery: Sanpaolo, Region: Irpinia, Style1: Aglianico - Southern Italy, Style2: Aglianico - Southern Italy, Style3: Aglianico - Italy Country: US, Description: A good sparkling wine, a bit scoury around the edges, but nice and dry, with a fancy finish. Shows crisp flavors of yeasty lees, limes, lemons, vanilla and smoke., Designation: Va de Vi Ultra Cuvée, Points: 88.0, Price: 22.0, Province: California, Title: Gloria Ferrer NV Va de Vi Ultra Cuvée Sparkling (Sonoma County), Variety: Sparkling Blend, Winery: Gloria Ferrer, Region: Sonoma, Style1: Sparkling Blend - California, Style2: Sparkling Blend - Sonoma, Style3: Sparkling Blend - Sonoma Country: Australia, Description: Produced by the transfer method, with gas levels adjusted and a dosage the results in approximately 14g/L of sugar, this is a slightly mint and eucalypt-scented sparkler dominated by black cherries and coffee. Ends on a slightly dusty note. Multipe U.S. Importers., Designation: The Madam Sparkling, Points: 86.0, Price: 15.0, Province: South Australia, Title: Hugh Hamilton 2004 The Madam Sparkling Merlot (McLaren Vale), Variety: Merlot, Winery: Hugh Hamilton, Region: McLaren Vale, Style1: Merlot - South Australia, Style2: Merlot - South Australia, Style3: Merlot - Australia Country: Italy, Description: Here is an oak-aged sparkler from Italy's Lake Garda (made with Chardonnay) that boasts thick density and creamy aromas of almond, peach, butter and yellow rose. It makes for a well-priced alternative to more expensive metodo classico sparkling wines from France and Spain., Designation: Brut, Points: 87.0, Price: 20.0, Province: Lombardy, Title: Costaripa NV Brut  (Lugana), Variety: Chardonnay, Winery: Costaripa, Region: Lugana, Style1: Chardonnay - Lombardy, Style2: Chardonnay - Lombardy, Style3: Chardonnay - Italy Country: Italy, Description: Made entirely of the Alpine grape Prié Blanc, planted in the highest vineyards in Europe, this vibrant sparkler opens with aromas of green apple, white spring flowers and a hint of resin. The palate offers ripe Bartlett pear, creamy Granny Smith and Alpine herb alongside brisk acidity and persistent bubbles., Designation: Extra Brut Metodo Classico, Points: 87.0, Price: 28.0, Province: Italy Other, Title: Cave du Vin Blanc de Morgex et de la Salle 2011 Extra Brut Metodo Classico Prié Blanc (Vino Spumante), Variety: Prié Blanc, Winery: Cave du Vin Blanc de Morgex et de la Salle, Region: Vino Spumante, Style1: Prié Blanc - Italy Other, Style2: Prié Blanc - Italy Other, Style3: Prié Blanc - Italy Country: US, Description: Whiffs of exotic spice lend flair to berry and cherry aromas on this sparkling blend of Cabernet Franc, Cabernet Sauvignon and Merlot. Exuberantly pétillant, it's fresh with cranberry  acidity and tart red-plum and cherry flavors., Designation: Sparkling Rosé, Points: 88.0, Price: 45.0, Province: New York, Title: Bedell 2013 Sparkling Rosé Sparkling (North Fork of Long Island), Variety: Sparkling Blend, Winery: Bedell, Region: North Fork of Long Island, Style1: Sparkling Blend - New York, Style2: Sparkling Blend - New York, Style3: Sparkling Blend - New York Country: Italy, Description: Here's any easy sparkling wine that opens with a pretty pink color and lively aromas of cranberry, white almond, citrus and lemon curd. A slight hint of sweetness would make this a perfect pairing partner to insalata caprese with fresh mozzarella., Designation: Extra Dry Rosè, Points: 86.0, Price: 20.0, Province: Veneto, Title: Bacio della Luna NV Extra Dry Rosè Pinot Nero (Veneto), Variety: Pinot Nero, Winery: Bacio della Luna, Region: Veneto, Style1: Pinot Nero - Veneto, Style2: Pinot Nero - Veneto, Style3: Pinot Nero - Italy Country: Italy, Description: Made from organically farmed grapes, this sparkling wine from Central Italy has tangy citrus, apple and nutty sensations. Big, steely bubbles and vivacious acidity create a somewhat rough mouthfeel., Designation: Brut, Points: 85.0, Price: 26.0, Province: Italy Other, Title: Saladini Pilastri NV Brut Pecorino (Vino Spumante), Variety: Pecorino, Winery: Saladini Pilastri, Region: Vino Spumante, Style1: Pecorino - Italy Other, Style2: Pecorino - Italy Other, Style3: Pecorino - Italy Country: US, Description: This lightly sparkling, low-alcohol wine is off dry but with bracing acidity. It features a refreshing mix of apple, peach and citrus fruit, making it perfect as a chilled apéritif, or as a mixer for a wine punch or cocktail., Designation: Semi-Sparkling, Points: 90.0, Price: 18.0, Province: Oregon, Title: Noble Estate 2013 Semi-Sparkling Muscat (Willamette Valley), Variety: Muscat, Winery: Noble Estate, Region: Willamette Valley, Style1: Muscat - Oregon, Style2: Muscat - Willamette Valley, Style3: Muscat - Willamette Valley Country: US, Description: Soft bubbles and bracing acidity meld with sweet-tart wild-berry and red-cherry flavors in this cheeky, effervescent treat. A pétillant naturel fermented on it's own indigenous yeasts, there's a distinctly untamed, sauvage feel to this Merlot sparkler that's hard to resist., Designation: Pétillant Naturel Rosato, Points: 89.0, Price: 26.0, Province: New York, Title: Channing Daughters 2014 Pétillant Naturel Rosato Sparkling (Long Island), Variety: Sparkling Blend, Winery: Channing Daughters, Region: Long Island, Style1: Sparkling Blend - New York, Style2: Sparkling Blend - New York, Style3: Sparkling Blend - New York Country: Italy, Description: This sparkling wine has a fragrance of honey, almond and banana peel. The palate is a bit evolved, but shows ripe yellow apple, white chocolate, flint and pastry notes. It has an elegant perlage and closes on an almond note., Designation: Comitissa Glod Gran Riserva, Points: 90.0, Price: 60.0, Province: Northeastern Italy, Title: Lorenz Martini 2002 Comitissa Glod Gran Riserva Sparkling (Alto Adige), Variety: Sparkling Blend, Winery: Lorenz Martini, Region: Alto Adige, Style1: Sparkling Blend - Northeastern Italy, Style2: Sparkling Blend - Northeastern Italy, Style3: Sparkling Blend - Italy Country: Italy, Description: Made entirely from Sangiovese using the méthode Champenoise, this sparkling wine offers raspberry and walnut aromas and flavors. It has a simple structure and despite no dosage, doesn't finish bone dry., Designation: Dream, Points: 84.0, Price: unknown, Province: Italy Other, Title: Casalvento Radda 2008 Dream Sangiovese (Vino da Tavola), Variety: Sangiovese, Winery: Casalvento Radda, Region: Vino da Tavola, Style1: Sangiovese - Italy Other, Style2: Sangiovese - Italy Other, Style3: Sangiovese - Italy Country: France, Description: This fruity fizz majors on the aroma of freshly cut Golden Delicious apples, while the body is very light, slightly tart and pleasantly dry. The mousse is rather frothy but if refreshment is what you are after, this is your ticket., Designation: Prestige, Points: 87.0, Price: 20.0, Province: Alsace, Title: Willm NV Prestige Sparkling (Crémant d'Alsace), Variety: Sparkling Blend, Winery: Willm, Region: Crémant d'Alsace, Style1: Sparkling Blend - Alsace, Style2: Sparkling Blend - Alsace, Style3: Sparkling Blend - France Country: France, Description: Lightly pink in color, this sweet sparkling wine is full of ripe strawberry fruit. And with its low alcohol, it's the perfect pairing for strawberries and cream. Acidity keeps it in balance., Designation: Caprice des Rocailles, Points: 86.0, Price: 22.0, Province: France Other, Title: Les Rocailles NV Caprice des Rocailles Gamay (Savoie), Variety: Gamay, Winery: Les Rocailles, Region: Savoie, Style1: Gamay - France Other, Style2: Gamay - France Other, Style3: Gamay - France"
Are there any red wines with a touch of earthiness and cherry undertones?,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Francis Ford Coppola 2007 Presents Rosso Red (California) | Gritty and dry, this rustic blend has earthy flavors of cherries and spices. | Red Blend | US | California | Francis Ford Coppola | California |
| Santa Alicia 2016 Reserva Estate Bottled Malbec (Maipo Valley) | Earthy cherry and berry aromas include a blackened note akin to asphalt. | Malbec | Chile | Maipo Valley | Santa Alicia | Maipo Valley |
| Eduardo Garrido García 2011 Crianza  (Rioja) | Earthy, ripe cherry and berry aromas come with notes of baking spices and tobacco. | Tempranillo Blend | Spain | Rioja | Eduardo Garrido García | Northern Spain |
| Tarara 2007 Meritage Red (Virginia) | This earthy Meritage is dominated by notes of forest floor, strawberry and espresso. | Red Blend | US | Virginia | Tarara | Virginia |
| Baron De Ley 2012 Varietales  (Rioja) | This red-fruit-dominated Garnacha smells of earthy cherry and plum along with orange peel. | Garnacha | Spain | Rioja | Baron De Ley | Northern Spain |","Country: US, Description: Gritty and dry, this rustic blend of Zin, Syrah and Cabernet has earthy flavors of cherries and spices. It's a fine everyday red to drink with everything from pasta or cold cuts to pizza and burgers., Designation: Presents Rosso, Points: 84.0, Price: 10.0, Province: California, Title: Francis Ford Coppola 2007 Presents Rosso Red (California), Variety: Red Blend, Winery: Francis Ford Coppola, Region: California, Style1: Red Blend - California, Style2: Red Blend - California, Style3: Red Blend - California Country: Chile, Description: Earthy cherry and berry aromas include a blackened note akin to asphalt. This feels fresh and wiry, with pointy acidity. Salty chippy red-fruit flavors end with pedestrian berry notes and a lasting dash of salt., Designation: Reserva Estate Bottled, Points: 86.0, Price: 10.0, Province: Maipo Valley, Title: Santa Alicia 2016 Reserva Estate Bottled Malbec (Maipo Valley), Variety: Malbec, Winery: Santa Alicia, Region: Maipo Valley, Style1: Malbec - Maipo Valley, Style2: Malbec - Maipo Valley, Style3: Malbec - Chile Country: Spain, Description: Earthy, ripe cherry and berry aromas come with notes of baking spices and tobacco. This is crisp in feel, albeit a touch jagged. Smoky, toasty plum and cherry flavors lead, while this is long, spicy and a tad bit hot on the finish., Designation: Crianza, Points: 90.0, Price: 22.0, Province: Northern Spain, Title: Eduardo Garrido García 2011 Crianza  (Rioja), Variety: Tempranillo Blend, Winery: Eduardo Garrido García, Region: Rioja, Style1: Tempranillo Blend - Northern Spain, Style2: Tempranillo Blend - Northern Spain, Style3: Tempranillo Blend - Spain Country: US, Description: This earthy Meritage is a standout of the Virginia wine scene. The nose is suave and subtle, dominated by notes of forest floor, strawberry and espresso. Gripping tannins frame the palate which is packed with fresh black cherry fruit. Finishes dense and black. Give it a few years in the cellar., Designation: Meritage, Points: 87.0, Price: 40.0, Province: Virginia, Title: Tarara 2007 Meritage Red (Virginia), Variety: Red Blend, Winery: Tarara, Region: Virginia, Style1: Red Blend - Virginia, Style2: Red Blend - Virginia, Style3: Red Blend - Virginia Country: Spain, Description: This red-fruit-dominated Garnacha smells of earthy cherry and plum along with orange peel. A racy, chewy, slightly rough palate of pie cherry, red plum, raisin and chocolate finish juicy and aggressive., Designation: Varietales, Points: 89.0, Price: 20.0, Province: Northern Spain, Title: Baron De Ley 2012 Varietales  (Rioja), Variety: Garnacha, Winery: Baron De Ley, Region: Rioja, Style1: Garnacha - Northern Spain, Style2: Garnacha - Northern Spain, Style3: Garnacha - Spain Country: Spain, Description: Earthy baked cherry aromas come across candied and minty. The palate is full-force in terms of acidity, with punchy flavors of strawberry and plum. This finishes light, with strong acidity pushing snappy tartness to the fore., Designation: 4M, Points: 84.0, Price: 14.0, Province: Northern Spain, Title: Taron 2008 4M  (Rioja), Variety: Tempranillo, Winery: Taron, Region: Rioja, Style1: Tempranillo - Northern Spain, Style2: Tempranillo - Northern Spain, Style3: Tempranillo - Spain Country: Chile, Description: Earthy plum and cherry aromas are cool and lightly herbal. This feels juicy and tight, but clean. Flavors of herbal plum are a touch roasted, while this everyday Cab finishes spicy and the slightest bit green., Designation: U Estate Grown, Points: 87.0, Price: 11.0, Province: Rapel Valley, Title: Undurraga 2014 U Estate Grown Cabernet Sauvignon (Rapel Valley), Variety: Cabernet Sauvignon, Winery: Undurraga, Region: Rapel Valley, Style1: Cabernet Sauvignon - Rapel Valley, Style2: Cabernet Sauvignon - Rapel Valley, Style3: Cabernet Sauvignon - Chile Country: Chile, Description: Earthy, lightly herbal cherry and plum aromas come with a whiff of smoke. The palate is round and feels well balanced, with blackberry, dark plum, chocolate and spice flavors. Long and slightly herbal on the finish. Contains 5% Syrah., Designation: Reserva, Points: 88.0, Price: 13.0, Province: Maule Valley, Title: Chilcas 2009 Reserva Merlot (Maule Valley), Variety: Merlot, Winery: Chilcas, Region: Maule Valley, Style1: Merlot - Maule Valley, Style2: Merlot - Maule Valley, Style3: Merlot - Chile Country: Argentina, Description: Earthy, rubbery red-berry aromas lead to a hard-drilling palate with fiery cherry flavors and an allotment of herbal mint. The hollow finish leaves a salty flavor and heat., Designation: Made With Organically Grown Grapes, Points: 84.0, Price: 12.0, Province: Mendoza Province, Title: Domaine Jean Bousquet 2013 Made With Organically Grown Grapes Malbec (Tupungato), Variety: Malbec, Winery: Domaine Jean Bousquet, Region: Tupungato, Style1: Malbec - Mendoza Province, Style2: Malbec - Mendoza Province, Style3: Malbec - Argentina Country: Spain, Description: Cherry and plum aromas are dry, earthy and direct. This is a straightforward aged Rioja with grabby tannins but enough body and fruit to absorb them. Baked cherry and plum flavors are a touch rustic and stalky, while a roasted aftertaste sends this on its way. Drink through 2019., Designation: Reserva, Points: 89.0, Price: 33.0, Province: Northern Spain, Title: Ysios 2008 Reserva  (Rioja), Variety: Tempranillo, Winery: Ysios, Region: Rioja, Style1: Tempranillo - Northern Spain, Style2: Tempranillo - Northern Spain, Style3: Tempranillo - Spain Country: US, Description: An earthiness of forest floor wraps around a medley of bright berry and cherry in this wine that is also nicely balanced in acidity. Smooth on the palate, it takes on stronger currents of tannin and leathery oak on the finish., Designation: Estate Grown, Points: 90.0, Price: 36.0, Province: California, Title: WillowBrook Cellars 2012 Estate Grown Pinot Noir (Russian River Valley), Variety: Pinot Noir, Winery: WillowBrook Cellars, Region: Russian River Valley, Style1: Pinot Noir - California, Style2: Pinot Noir - Russian River Valley, Style3: Pinot Noir - Russian River Valley Country: Argentina, Description: Cherry and cassis aromas are earthy, with hints of green herbs and cheesy oak. This feels a bit raw and scratchy, but fresh. Red-fruit flavors of currant and plum finish with snappy acidity and clampy tannins., Designation: Trumpeter, Points: 87.0, Price: 11.0, Province: Mendoza Province, Title: Rutini 2015 Trumpeter Cabernet Sauvignon (Mendoza), Variety: Cabernet Sauvignon, Winery: Rutini, Region: Mendoza, Style1: Cabernet Sauvignon - Mendoza Province, Style2: Cabernet Sauvignon - Mendoza Province, Style3: Cabernet Sauvignon - Argentina Country: Spain, Description: Earthy aromas of brick dust blend with spiced cherry and tomato notes. A chewy, solid palate registers as correct, while this tastes of ripe, candied berry fruits and chocolate. A long, warm, slightly oaky finish sends this on its way., Designation: Crianza, Points: 88.0, Price: 15.0, Province: Northern Spain, Title: Siglo 2012 Crianza  (Rioja), Variety: Tempranillo Blend, Winery: Siglo, Region: Rioja, Style1: Tempranillo Blend - Northern Spain, Style2: Tempranillo Blend - Northern Spain, Style3: Tempranillo Blend - Spain Country: Spain, Description: Rooty/ berry aromas come with a big heaping of mature earth tones and cool cola accents. This is ripped with acidity, which makes sense since 2008 was a chilly, wet year. Bold berry, plum, cherry and tobacco flavors finish easy and smooth; drink through 2020., Designation: Vidau, Points: 91.0, Price: 88.0, Province: Northern Spain, Title: Bodegas Escudero 2008 Vidau  (Rioja), Variety: Red Blend, Winery: Bodegas Escudero, Region: Rioja, Style1: Red Blend - Northern Spain, Style2: Red Blend - Northern Spain, Style3: Red Blend - Spain Country: US, Description: There's a hint of a sweaty, earthy undertone in the nose, and this wine shows a fair amount of stem and earth flavors. Sour cherry fruit adds a lighter layer, with notes of cement and bark. It spent time in 11% new oak., Designation: Crowley Station Vineyards, Points: 86.0, Price: 45.0, Province: Oregon, Title: Day 2014 Crowley Station Vineyards Pinot Noir (Eola-Amity Hills), Variety: Pinot Noir, Winery: Day, Region: Oregon Other, Style1: Pinot Noir - Oregon, Style2: Pinot Noir - Oregon Other, Style3: Pinot Noir - Oregon Other"
Is there a wine that is not too oaky?,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Marqués de Cáceres 2006 Blanco Fermentado en Barrica White (Rioja) | The winery has dialed back the time in oak for its barrel-fermented Viura to two months from five or six, and it's a decidedly less oaky wine than in years prior. | White Blend | Spain | Rioja | Marqués de Cáceres | Northern Spain |
| Jules Taylor 2013 OTQ Pinot Noir (Marlborough) | Purists might be inclined to say this wine is too oaky, but this reviewer believes there's ample substance to support the flash. | Pinot Noir | New Zealand | Marlborough | Jules Taylor | Marlborough |
| Williams Selyem 2008 Unoaked Chardonnay (Russian River Valley) | Williams Selyem is now playing the unoaked game, and with their fruit sources, wow. | Chardonnay | US | Russian River Valley | Williams Selyem | California |
| Woodbridge by Robert Mondavi 2016 Lightly Oaked Chardonnay (California) | Touches of ginger and orange zest lighten up the ample fruit flavors of this well-balanced value-priced wine. | Chardonnay | US | California | Woodbridge by Robert Mondavi | California |
